"ANO","COORDENADA_X","COORDENADA_Y","ID_COMPRAVENTA","OBJECTID","point"
"2,012","836,519.72","1,186,322.36","4,016","229","POINT (-75.55457750283577 6.278980966206724)"
"2,012","832,097.19","1,186,292.88","3,038","228","POINT (-75.59453445348734 6.278713721074642)"
"2,012","835,614.5468","1,186,274.5111","5,132","227","POINT (-75.56275562312915 6.278548485997256)"
"2,012","835,427.1","1,186,157.51","1,699","226","POINT (-75.56444917932832 6.277490745051974)"
"2,012","827,790.08","1,186,136.45","5,028","225","POINT (-75.63344840977274 6.277295899491305)"
"2,012","836,874.21","1,186,129.07","4,796","224","POINT (-75.55137477823959 6.277233461259375)"
"2,012","829,179.93","1,186,112.34","3,041","223","POINT (-75.62089131855245 6.277079415638651)"
"2,012","835,461.29","1,186,062.13","2,208","222","POINT (-75.56414027936695 6.276628464568515)"
"2,012","835,513.67","1,186,050.66","5,128","221","POINT (-75.56366703545248 6.276524769482879)"
"2,012","835,486.2","1,186,036.92","1,606","220","POINT (-75.56391522228796 6.27640055392481)"
"2,012","835,514.2","1,186,006.92","2,206","219","POINT (-75.56366224791942 6.276129339264356)"
"2,012","835,616.19","1,186,008.3104","2,207","218","POINT (-75.56274078690005 6.276141906192682)"
"2,012","835,545.67","1,185,994.17","1,616","217","POINT (-75.56337792256562 6.276014072521)"
"2,012","834,988.17","1,185,969.65","2,012","216","POINT (-75.56841483034707 6.275792390534772)"
"2,012","835,575.2","1,185,915.92","5,125","215","POINT (-75.56311112687867 6.27530665482442)"
"2,012","835,482.83","1,185,900.7","1,684","214","POINT (-75.56394567184661 6.275169061002028)"
"2,012","837,384.65","1,185,890.58","1,365","213","POINT (-75.54676311114524 6.275077261075198)"
"2,012","835,508.0717","1,185,856.6108","1,680","212","POINT (-75.56371761901687 6.274770473406067)"
"2,012","835,620.33","1,185,833.09","1,632","211","POINT (-75.56270338935217 6.274557831070849)"
"2,012","835,128.12","1,185,829.15","2,228","210","POINT (-75.56715040306361 6.27452221127793)"
"2,012","835,666.54","1,185,809.3","3,069","209","POINT (-75.56228589278402 6.274342756370052)"
"2,012","834,403.84","1,185,808.97","5,124","208","POINT (-75.5736941170787 6.274339705937099)"
